Reference,Problem Statement,Algorithm/Methodology,Key Findings,Category
"Patel et al. [1]","To analyze the features, benefits, and drawbacks of various DBMSs developed over time to address evolving challenges","Literature Survey","Presents advantages and disadvantages of different systems from 1960-2022, helping researchers explore related issues","Foundational"
"Sharma and Purohit [2]","Examines foundational role and operational requirements of DBMS in contemporary applications","Descriptive Analysis","Relational databases guarantee consistency for structured data; non-relational offer flexibility for unstructured data","Foundational"
"Abadi et al. [3]","Identifies Big Data as defining challenge with enormous opportunities for database research","Research Agenda Definition","Outlines five key research areas required to address Big Data challenge","Foundational"
"Jing et al. [4]","Traditional RDBMS face challenges storing/querying dynamic user data for large-scale, high-concurrency applications","Survey and Classification","Classifies NoSQL databases according to CAP theorem; extracts properties to help enterprise selection","Foundational"
"Brewer [5]","Addresses design trade-offs in networked shared-data systems as defined by CAP theorem","Conceptual Framework","Designers can achieve trade-off of all three CAP properties by managing partitions effectively","Foundational"
"B et al. [11]","Analyzes limitations of traditional data management approaches in scalability and flexibility for modern needs","Comprehensive Analysis","Highlights selection criteria (data model, scalability, consistency) and future directions like AI-driven management","Foundational"
"Taipalus [14]","DBMS performance comparisons often don't reflect real-world use and lack sufficient detail for replication","Systematic Literature Review","Performance tests are typically not representative of real scenarios and lack sufficient reporting detail","Foundational"
"Graefe [16]","Efficient algorithms needed to manipulate large sets and complex objects with performance comparable to simple record processing","Survey of Techniques","Provides foundational understanding of algorithm and architectural issues for designing query execution facilities","Core Techniques"
"gupta et al. [17]","To provide framework for understanding query processing and optimization in RDBMS","Structured Survey","Offers basic framework for understanding the field of query processing and optimization","Core Techniques"
"Chaudhuri [18]","Provides high-level synthesis of extensive field of query optimization for SQL in relational databases","Theoretical Synthesis","Explains core foundations of relational query optimization, providing accessible entry point","Core Techniques"
"Seshadri et al. [19]","Magic sets rewriting produces many variant plans with greatly differing performance; needs method to select best","Cost-Based Technique","Cost-based technique performs well, preventing poor decisions that occur without variant selection","Core Techniques"
"Ramdoss [6]","Poorly optimized queries cause slow response times and high resource consumption affecting system performance","Comparative Analysis","Demonstrates practical application of optimization strategies across SQL, NoSQL, and NewSQL databases","Core Techniques"
"Abhayanand and Rahman [7]","Optimizing queries in distributed relational databases challenged by data distribution, network latency, and varying resources","Comprehensive Review","Identifies gaps and future directions, highlighting trends like ML-assisted optimization","Core Techniques"
"Baker et al. [9]","Traditional RDBMS challenged by volume, velocity, and variety of Big Data","Comparative Analysis","Evaluates performance, scalability, and suitability of various NoSQL databases for Big Data scenarios","Modern Environments"
"Krishna [20]","Optimizing query execution in distributed NoSQL databases handling unstructured/semi-structured data","Adaptive Indexing/Portioning","Demonstrates application in large-scale systems and indicates trends with ML, serverless integration","Modern Environments"
"Yadav [12]","Organizations face optimization challenges transitioning databases to cloud to control costs and ensure performance","Strategy Synthesis","Collective implementation yields improvements in responsiveness while reducing operational expenditures","Modern Environments"
"Ma [13]","Explore application of DL for efficient query processing in IoT databases handling large-scale, time-sensitive data","Deep Learning Network Model","Optimized model shows higher training efficiency, better energy consumption, and lower latency at scale","Modern Environments"
"Panwar [15]","Traditional optimization techniques struggle with complexity and dynamic nature of modern, large-scale databases","AI/ML Algorithms","AI-driven optimization offers transformative potential for responsive, cost-effective data management","ML-Based"
"Chimezie et al. [10]","Traditional query optimization methods are inflexible for highly dynamic or complex workloads","ML Model Comparison","AI-driven models (CatBoost: 59% accuracy) outperform traditional methods (48%), with interpretability trade-offs","ML-Based"
"Li et al. [21]","Existing cost models for Spark SQL are rule-based; learning-based models ignore resource allocation","Resource-Aware Deep Learning","Model outperforms traditional rule-based methods and other learning-based optimizers","ML-Based"
"Lan et al. [22]","State-of-the-art models fail to quantify query interaction essential for predicting response time in concurrent workloads","Similarity Models","Models achieve low prediction error (12% static, 35% dynamic); scheduler outperforms conventional by 2.9x","ML-Based"
"Yan et al. [8]","ORM frameworks introduce database-related performance inefficiencies in web applications","Static Program Analysis","Fixing identified inefficiencies can reduce query time (up to 91%) and webpage response time (up to 98%)","Empirical Analysis"
