"Optimization Technique","Avg Query Latency Reduction / Performance Improvement","CPU Utilization Impact","Memory Overhead","Scalability Trend","Best Use Case / Key Metrics"
"Cost-Based Optimization (SQL RDBMS)","43–78% faster execution with proper indexing [6, 12]; System-R dynamic programming reduces enumeration from O(n!)O(n!) to O(n2n−1)O(n2n−1) [18]","Reduced by ~45% with optimized joins [6]; Cost models rely on CPU, I/O, and buffer utilization [18]","Low to moderate (statistics storage, histograms) [18]","Good for vertical scaling; limited in distributed setups [6, 17]; Extensible frameworks (Starburst, Volcano/Cascades) improve adaptability [18]","Structured, predictable workloads (OLTP); best for relational queries with stable statistics"
"Indexing (B-tree, Composite, Covering)","31–78% faster queries; covering indexes reduce I/O by 78% [12]; Secondary & composite indexes in NoSQL reduce latency by 40% [20]","Reduced due to fewer full scans [12]; NoSQL indexing can lower CPU by ~19% [20]","Increased for index storage","Scales well with read-heavy workloads [12]; Effective in distributed NoSQL with adaptive indexing [20]","Read-intensive applications; composite indexes best for multi-column queries; NoSQL: secondary indexes for flexible schemas"
"Query Rewriting & Transformation","Up to 62% faster with predicate pushdown, subquery elimination [6, 17]; Magic Sets rewriting reduces view computation by selective filtering [19]","Reduced CPU from inefficient joins [6]; Filter-join method adds minimal overhead [19]","Minimal","Effective in distributed query processing [17]; Applicable to multi-block queries and nested subqueries [18, 19]","Complex multi-join queries; useful in distributed and federated DBMS; views with aggregation"
"Parallel & Distributed Query Execution","2.8× faster in cloud DW; 3.4× better throughput with read replicas [12]; Sharding + replication in NoSQL improves throughput by 60% [20]","Higher but distributed across nodes; NoSQL load balancing reduces CPU spikes [20]","Moderate (coordination overhead)","Excellent in distributed/cloud DBs [7, 12, 20]; XPRS two-phase optimization separates plan generation and scheduling [18]","Big Data analytics, cloud data warehouses, distributed relational and NoSQL DBs"
"Partitioning (Horizontal/Vertical)","43–64% lower latency; columnar storage 2.2–8.7× faster for analytics [12]; Adaptive sharding in NoSQL reduces latency by 40% [20]","Better utilization due to localized scans [12]","Low if aligned with access patterns","High—enables horizontal scaling [7, 12, 20]","Large datasets, time-series data, analytical workloads; NoSQL: range/hash sharding for even data distribution"
"Adaptive Query Optimization","47% fewer performance incidents; 47% lower latency variability [7, 12]; AI-driven adaptive optimization reduces query time by 40% [15]","Optimized dynamically based on runtime feedback; AI models adjust plans in real-time [15]","Moderate (runtime stats collection)","Highly scalable in dynamic workloads [7, 15]","Variable workloads, unpredictable data distributions, streaming data; AI-enhanced adaptivity for cloud/NoSQL"
"Machine Learning–Based Optimization","36.9% better price-performance; 31.7% cost reduction in cloud [12]; AI-driven models reduce execution time by up to 40% in SQL/NoSQL [15]; DL model in IoT reduces latency significantly [13]; DRAL model improves Spark SQL cost estimation accuracy (COR > 0.98) [21]","Optimized via predictive models; DL models for IoT show adaptive CPU/GPU usage [13]; RAAL/DRAL models capture resource-impact dynamics [21]","High during training, lower in inference; DRAL requires ~2 hours for 50K samples [21]","Promising for auto-scaling and plan selection [7, 12, 15]; DRAL adapts to data insertion without retraining [21]","Cloud DBs, elastic workloads, autonomous DB systems; IoT data streams; Spark SQL with dynamic resources"
"Caching (In-Memory, Materialized Views)","67% load reduction with Redis; 43% faster response [12]; Query caching in NoSQL improves throughput by 60% [20]","Reduced due to fewer DB hits; caching lowers CPU by ~19% [20]","High memory consumption for cache","Good for read-heavy, limited by memory size [6, 12, 20]","Frequently repeated queries, dashboarding, OLAP systems; NoSQL: materialized views for frequent complex queries"
"NoSQL-Specific (Sharding, Denormalization)","47–54% faster in distributed setups [9]; Adaptive indexing + partitioning improves throughput by 60% and reduces latency by 40% [20]","Lower due to localized queries; efficient sharding balances load [20]","Low","Excellent horizontal scalability [9, 20]","Unstructured/semi-structured Big Data, high-write environments; e.g., LinkedIn (Cassandra), Netflix (MongoDB)"
"AI/ML-Driven Query Optimization","40% faster execution vs. traditional methods [15]; Up to 35% latency reduction in e-commerce [15]; Predictive models achieve >90% cost estimation accuracy [15]; DRAL model outperforms GPSJ and TLSTM in Spark SQL [21]","25% lower CPU usage, 30% lower memory consumption [15]; Adaptive models reduce resource contention","Moderate to high (model training/updating)","Highly scalable with autonomous tuning [15]","Dynamic, large-scale SQL/NoSQL environments; real-time analytics; self-tuning databases"
"IoT-Specific Deep Learning Optimization","DL-optimized model reduces training time by ~50% at scale; query latency lower than LSTM/GRU models at 4000 data volume [13]","CPU/GPU usage increases with data volume but optimized model shows better energy efficiency [13]","Moderate (model-specific)","Effective for real-time IoT data streams [13]","IoT databases with high-volume, high-velocity data; applications in smart cities, healthcare, industrial IoT"
"Monitoring & Auto-Scaling","62% fewer system failures with proactive monitoring; 71% faster MTTR [12]; Auto-scaling reduces costs by 31.7% and improves response time stability [12]","Enables efficient resource allocation; prevents over-provisioning","Low (tool overhead)","Essential for cloud and distributed DBs [12]","Cloud-native databases, variable workloads, DevOps environments"
"Semijoin & Magic Sets Optimization","Magic Sets rewriting can dramatically improve decision-support queries; Filter-join method explores SIPS in O(1)O(1) per join [19]","Filter-join adds constant-time overhead; semijoin reduces unnecessary tuple transmission [19]","Low to moderate (auxiliary view creation)","Effective for complex multi-block queries and correlated subqueries [18, 19]","Queries with views, aggregates, nested subqueries; distributed and heterogeneous DBs"
"Learned Cost Models for Big Data (e.g., DRAL)","DRAL reduces RE to 0.101 on IMDB, outperforms RAAL and GPSJ; adapts to data insertion without full retraining [21]","Captures resource impact via attention mechanism; reduces prediction error under dynamic resources [21]","Moderate (LSTM + attention layers)","Stable across different cluster configurations; scalable to large training sets [21]","Spark SQL, cloud-based big data processing, dynamic resource environments"
"Similarity-based predictive scheduling with query rating (static & dynamic models)","Up to 35% improvement in response time prediction accuracy; scheduler reduces total workload completion time by up to 2.9× vs. FCFS [22]","Low additional overhead for online scheduling (< 2 mins for 400 queries) [22]","Moderate due to precomputed query rating vectors and similarity arrays; optimized with limited nearest-neighbor storage","Effective for fixed MPL; adapts to larger datasets; complexity grows with query space [22]","OLAP workloads, concurrent query mixes, batch reporting systems; key metrics: MRE (Mean Relative Error), total workload completion time [22]"
